issue_id,pattern_id
1,46
1,1
1,3
1,5
1,9
1,30
1,35
1,37
1,38
2,17
2,51
3,2
3,46
4,2
4,6
4,9
4,16
4,50
5,16
5,17
5,18
5,28
5,40
5,48
6,6
6,10
6,11
6,23
6,33
6,35
6,46
7,51
8,6
8,10
8,33
9,2
9,17
10,17
10,40
11,5
11,11
11,13
11,14
11,22
11,23
11,26
11,34
11,39
11,43
11,44
12,7
12,11
12,17
12,19
12,20
12,37
12,46
13,2
13,6
13,9
13,12
13,14
13,16
13,22
13,23
13,33
13,39
13,44
13,49
13,50
14,1
14,3
14,5
14,6
14,9
14,15
14,18
14,21
14,25
14,30
14,32
14,33
14,35
14,37
14,38
14,46
14,49
14,51
15,7
15,10
15,11
15,12
15,19
15,23
15,33
16,1
16,2
16,3
16,7
16,8
16,11
16,14
16,18
16,20
16,26
16,36
16,39
16,40
16,44
16,51
17,3
17,20
17,26
17,27
17,28
17,29
17,39
18,2
18,9
18,12
18,13
18,15
18,17
18,21
18,22
18,33
18,35
18,36
18,50
18,51
19,1
19,4
19,5
19,11
19,14
19,24
19,31
19,37
19,44
19,45
20,1
20,4
20,5
20,11
20,14
20,24
20,31
20,35
20,37
20,44
20,45
21,1
21,4
21,5
21,11
21,14
21,24
21,31
21,35
21,37
21,44
21,45
22,4
22,35
22,38
22,46
23,4
23,35
23,38
23,46